"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.48K","0.00%"
"08/11/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"08/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","","0.00%"
"08/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"08/06/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.18K","0.00%"
"08/05/2025","2,310.50","2,310.50","2,310.50","2,310.50","84.47K","0.00%"
"08/04/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"08/01/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.01K","0.00%"
"07/31/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.00K","0.00%"
"07/30/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"07/29/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"07/28/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.07K","0.00%"
"07/25/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"07/24/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"07/23/2025","2,310.50","2,310.50","2,310.50","2,310.50","","0.00%"
"07/22/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"07/21/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.10K","0.00%"
"07/18/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.77K","0.00%"
"07/17/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.03K","0.00%"
"07/16/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.38K","0.00%"
"07/14/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.08K","0.00%"
"07/11/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.31K","0.00%"
"07/10/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"07/09/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.13K","0.00%"
"07/08/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.04K","0.00%"
"07/07/2025","2,310.50","2,310.50","2,310.50","2,310.50","2.32K","0.00%"
"07/04/2025","2,310.50","2,310.50","2,310.50","2,310.50","20.70K","0.00%"
"07/03/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.07K","0.00%"
"07/02/2025","2,310.50","2,310.50","2,310.50","2,310.50","3.26K","0.00%"
"07/01/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"06/30/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.01K","0.00%"
"06/27/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.77K","0.00%"
"06/26/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.20K","0.00%"
"06/25/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.05K","0.00%"
"06/24/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.06K","0.00%"
"06/23/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.06K","0.00%"
"06/20/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.00K","0.00%"
"06/19/2025","2,310.50","2,310.50","2,310.50","2,310.50","4.53K","0.00%"
"06/18/2025","2,310.50","2,310.50","2,310.50","2,310.50","0.37K","-2.61%"
"06/17/2025","2,372.50","2,372.50","2,372.50","2,372.50","1.10K","0.00%"
"06/16/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.11K","0.00%"
"06/13/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.07K","0.00%"
"06/11/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.11K","0.00%"
"06/10/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.59K","0.00%"
"06/07/2025","2,372.50","2,372.50","2,372.50","2,372.50","","0.00%"
"06/05/2025","2,372.50","2,372.50","2,372.50","2,372.50","","0.00%"
"06/04/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.17K","0.00%"
"06/03/2025","2,372.50","2,372.50","2,372.50","2,372.50","3.64K","0.00%"
"06/02/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.31K","0.00%"
"05/30/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.15K","0.00%"
"05/29/2025","2,372.50","2,372.50","2,372.50","2,372.50","12.65K","0.00%"
"05/28/2025","2,372.50","2,372.50","2,372.50","2,372.50","0.27K","0.00%"
"05/27/2025","2,372.50","2,156.90","2,372.50","2,372.50","104.18K","10.00%"
"05/26/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.19K","0.00%"
"05/23/2025","2,156.90","2,156.90","2,156.90","2,156.90","","0.00%"
"05/22/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.11K","0.00%"
"05/21/2025","2,156.90","2,156.90","2,156.90","2,156.90","13.04K","0.00%"
"05/20/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.15K","0.00%"
"05/19/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.11K","0.00%"
"05/16/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.07K","0.00%"
"05/15/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.02K","0.00%"
"05/14/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.23K","0.00%"
"05/13/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.00K","0.00%"
"05/12/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.51K","0.00%"
"05/09/2025","2,156.90","2,156.90","2,156.90","2,156.90","2.10K","0.00%"
"05/08/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.01K","0.00%"
"05/07/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.46K","0.00%"
"05/06/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.01K","0.00%"
"05/05/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.02K","0.00%"
"05/02/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.01K","0.00%"
"04/30/2025","2,156.90","2,156.90","2,156.90","2,156.90","73.22K","0.00%"
"04/29/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.01K","0.00%"
"04/28/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.16K","0.00%"
"04/25/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.07K","0.00%"
"04/24/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.10K","0.00%"
"04/23/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.09K","0.00%"
"04/22/2025","2,156.90","2,156.90","2,156.90","2,156.90","2.33K","0.00%"
"04/17/2025","2,156.90","2,156.90","2,156.90","2,156.90","12.00K","0.00%"
"04/16/2025","2,156.90","2,156.90","2,156.90","2,156.90","6.34K","0.00%"
"04/15/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.08K","0.00%"
"04/14/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.23K","0.00%"
"04/10/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.02K","0.00%"
"04/09/2025","2,156.90","2,156.90","2,156.90","2,156.90","3.32K","0.00%"
"04/08/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.46K","0.00%"
"04/07/2025","2,156.90","2,156.90","2,156.90","2,156.90","188.07K","0.00%"
"04/04/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.32K","0.00%"
"04/03/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.21K","0.00%"
"04/02/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.08K","0.00%"
"03/28/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.05K","0.00%"
"03/27/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.16K","0.00%"
"03/26/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.05K","0.00%"
"03/25/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.15K","0.00%"
"03/24/2025","2,156.90","2,156.90","2,156.90","2,156.90","20.92K","0.00%"
"03/21/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.29K","0.00%"
"03/20/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.41K","0.00%"
"03/19/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.59K","0.00%"
"03/18/2025","2,156.90","2,156.90","2,156.90","2,156.90","16.21K","0.00%"
"03/17/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.57K","0.00%"
"03/14/2025","2,156.90","2,156.90","2,156.90","2,156.90","15.94K","0.00%"
"03/13/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.86K","0.00%"
"03/12/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.43K","0.00%"
"03/11/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.02K","0.00%"
"03/10/2025","2,156.90","2,156.90","2,156.90","2,156.90","2.13K","0.00%"
"03/07/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.05K","0.00%"
"03/06/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.55K","0.00%"
"03/05/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.60K","0.00%"
"03/04/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.05K","0.00%"
"03/03/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.43K","0.00%"
"02/28/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.37K","0.00%"
"02/27/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.08K","0.00%"
"02/26/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.11K","0.00%"
"02/25/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.44K","0.00%"
"02/24/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.36K","0.00%"
"02/21/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.42K","0.00%"
"02/20/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.11K","0.00%"
"02/19/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.30K","0.00%"
"02/18/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.45K","0.00%"
"02/17/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.86K","0.00%"
"02/14/2025","2,156.90","2,156.90","2,156.90","2,156.90","2.24K","0.00%"
"02/13/2025","2,156.90","2,156.90","2,156.90","2,156.90","6.65K","0.00%"
"02/12/2025","2,156.90","2,156.90","2,156.90","2,156.90","5.22K","0.00%"
"02/11/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.03K","0.00%"
"02/10/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.15K","0.00%"
"02/07/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.57K","0.00%"
"02/06/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.20K","0.00%"
"02/05/2025","2,156.90","2,156.90","2,156.90","2,156.90","14.29K","0.00%"
"02/04/2025","2,156.90","2,156.90","2,156.90","2,156.90","0.29K","0.00%"
"02/03/2025","2,156.90","2,156.90","2,156.90","2,156.90","2.01K","0.00%"
"01/31/2025","2,156.90","2,156.90","2,156.90","2,156.90","1.10K","0.00%"
