Date,Price,Open,High,Low,Vol.,Change %
8/12/2025,99,99.85,99.45,98.5,26.50M,-0.85%
8/11/2025,99.85,100,99.85,99.85,3.71M,-0.15%
8/8/2025,100,99.95,100,99.5,13.62M,0.05%
8/7/2025,99.95,99.4,99.95,99.5,29.21M,0.55%
8/6/2025,99.4,99,100,96,15.13M,0.40%
8/5/2025,99,100,101.5,99,39.04M,-1.00%
8/4/2025,100,99.5,102,100,27.39M,0.50%
8/1/2025,99.5,100.5,102,99.5,26.28M,-1.00%
7/31/2025,100.5,102,102.05,100.5,24.03M,-1.42%
7/30/2025,101.95,98.15,101.95,98.15,30.26M,4.03%
7/29/2025,98,94.1,98.9,94.3,26.84M,4.14%
7/28/2025,94.1,94,95,94,15.61M,0.11%
7/25/2025,94,94.1,94.2,93.9,28.71M,-0.11%
7/24/2025,94.1,94,95,93.6,10.47M,0.11%
7/23/2025,94,93.8,94,93,12.18M,0.21%
7/22/2025,93.8,94.5,102,93.7,32.75M,-0.74%
7/21/2025,94.5,95.05,94.5,93.55,21.86M,-0.58%
7/18/2025,95.05,93.05,95.55,94.9,33.89M,2.15%
7/17/2025,93.05,102.1,102.1,93.05,19.27M,-7.87%
7/16/2025,101,97,103.2,97,48.13M,7.62%
7/14/2025,93.85,94.1,97.85,93.8,20.19M,-0.27%
7/11/2025,94.1,90.5,95,92.2,21.32M,3.98%
7/10/2025,90.5,88,91.95,89.15,21.99M,2.84%
7/9/2025,88,85.95,90,86.8,18.23M,2.39%
7/8/2025,85.95,84.5,85.95,84,33.76M,1.72%
7/7/2025,84.5,83.2,86.65,83.3,12.06M,1.56%
7/4/2025,83.2,82.75,84,82.8,18.51M,0.54%
7/3/2025,82.75,80.5,83.2,80.5,40.64M,3.44%
7/2/2025,80,80.25,80.4,80,8.39M,-0.31%
7/1/2025,80.25,81.25,80.5,80,5.74M,-1.23%
6/30/2025,81.25,82.5,81.45,80,11.96M,-1.52%
6/27/2025,82.5,83,82.75,82.1,15.78M,-0.60%
6/26/2025,83,83,83,82.8,23.05M,0.00%
6/25/2025,83,83.6,83.4,82.5,20.96M,-0.72%
6/24/2025,83.6,83.55,83.95,83.3,12.83M,0.06%
6/23/2025,83.55,84.95,84.95,82,13.33M,-1.65%
6/20/2025,84.95,79.75,84.95,79.75,21.06M,6.52%
6/19/2025,79.75,79,80,79,62.66M,0.95%
6/18/2025,79,75.65,79,76.2,11.21M,4.43%
6/17/2025,75.65,71.5,78.65,71.5,83.36M,5.80%
6/16/2025,71.5,71.5,71.5,67.1,40.46M,0.00%
6/13/2025,71.5,71,71.6,71,35.44M,0.70%
6/11/2025,71,71.2,71,70.7,16.83M,-0.28%
6/10/2025,71.2,70.05,71.5,70.05,47.25M,1.64%
6/5/2025,70.05,69.5,70.2,69.35,30.91M,0.79%
6/4/2025,69.5,68,69.5,68.05,87.20M,2.21%
6/3/2025,68,66.6,68.05,68,41.23M,2.10%
6/2/2025,66.6,67,67,66.6,6.60M,-0.60%
5/30/2025,67,69,68.1,66.95,20.23M,-2.90%
5/29/2025,69,69.5,69,68.7,5.75M,-0.72%
5/28/2025,69.5,69.8,70,69.5,29.51M,-0.43%
5/27/2025,69.8,68.5,69.8,69.55,22.51M,2.05%
5/26/2025,68.4,70,71,68,24.95M,-2.29%
5/23/2025,70,69,70,69.4,29.38M,1.45%
5/22/2025,69,69.75,69.9,69,20.51M,-1.08%
5/21/2025,69.75,69.3,71,69.75,8.62M,0.65%
5/20/2025,69.3,68.5,69.3,68.85,9.54M,1.17%
5/19/2025,68.5,68,68.5,68,32.44M,0.74%
5/16/2025,68,68.55,68.5,67.5,30.87M,-0.80%
5/15/2025,68.55,68.6,68.55,68.15,5.51M,-0.07%
5/14/2025,68.6,69.05,69.05,68.6,53.27M,-0.65%
5/13/2025,69.05,69,69.05,68.65,31.84M,0.07%
5/12/2025,69,69.05,69,69,3.34M,-0.07%
5/9/2025,69.05,68,69.05,68.2,51.28M,1.54%
5/8/2025,68,67.5,68,67.5,45.97M,0.74%
5/7/2025,67.5,65,67.8,66,98.64M,3.85%
5/6/2025,65,63.45,65,63.5,37.99M,2.44%
5/5/2025,63.45,64,63.85,63.45,87.18M,-0.86%
5/2/2025,64,65.4,65,63.25,31.87M,-2.14%
4/30/2025,65.4,67.8,67,61.1,11.64M,-3.54%
4/29/2025,67.8,67.5,68.3,67.5,28.51M,1.19%
4/28/2025,67,63,67.5,63.5,33.50M,6.35%
4/25/2025,63,61.1,63,61.4,60.74M,3.11%
4/24/2025,61.1,61,61.3,61,17.10M,0.16%
4/23/2025,61,60,61.05,60.5,47.00M,1.67%
4/22/2025,60,59,60,59.1,9.66M,1.69%
4/17/2025,59,59,59,58.75,12.01M,0.00%
4/16/2025,59,59.95,61,56.95,36.78M,-11.94%
4/15/2025,67,68,68.75,67,18.28M,-1.47%
4/14/2025,68,68,69.9,67.75,31.02M,0.00%
4/11/2025,68,66.5,68,67,25.68M,2.26%
4/10/2025,66.5,64.8,68.4,65.5,18.42M,2.62%
4/9/2025,64.8,66,66.05,64.8,62.88M,-1.74%
4/8/2025,65.95,65.5,66.75,65.95,51.56M,0.69%
4/7/2025,65.5,69.4,69.2,63.1,34.48M,-5.62%
4/4/2025,69.4,69.5,69.8,69.4,20.86M,-0.14%
4/3/2025,69.5,69.6,69.9,69.4,25.76M,-0.14%
4/2/2025,69.6,68.8,70,69.5,33.05M,1.16%
3/28/2025,68.8,64.25,70,63.1,67.85M,7.08%
3/27/2025,64.25,64.1,64.5,63.95,7.00M,0.23%
3/26/2025,64.1,62.85,66,62.85,7.24M,1.99%
3/25/2025,62.85,62,62.85,62.1,5.35M,1.37%
