Date,Price,Open,High,Low,Vol.,Change %
8/12/2025,74,74,74,73.7,27.39M,0.00%
8/11/2025,74,74.65,74.65,73.85,16.05M,-0.87%
8/8/2025,74.65,74.7,74.7,73.1,28.81M,-0.07%
8/7/2025,74.7,74.4,74.7,73.15,38.33M,0.40%
8/6/2025,74.4,75.9,75.9,74.2,60.35M,-1.98%
8/5/2025,75.9,76.9,76.9,75.3,16.14M,-1.30%
8/4/2025,76.9,76.5,77,75.1,24.00M,0.52%
8/1/2025,76.5,76.5,77.1,76.1,38.61M,0.00%
7/31/2025,76.5,75,77.2,75.4,15.83M,2.00%
7/30/2025,75,73,75.95,72.1,20.58M,2.74%
7/29/2025,73,72.7,73.15,72,25.61M,0.41%
7/28/2025,72.7,74,74,72,31.03M,-1.76%
7/25/2025,74,73.2,75.4,72,16.96M,1.09%
7/24/2025,73.2,71.5,73.2,71.3,22.50M,2.38%
7/23/2025,71.5,70.75,72,70.75,10.36M,1.06%
7/22/2025,70.75,71,72,70.2,26.53M,-0.35%
7/21/2025,71,72,72,68.65,24.60M,-1.39%
7/18/2025,72,75,75,71.5,50.70M,-4.00%
7/17/2025,75,76,76.85,72.4,83.36M,-1.32%
7/16/2025,76,72.4,78.5,72.4,66.28M,6.29%
7/14/2025,71.5,69.7,72,69.75,43.88M,2.58%
7/11/2025,69.7,63.4,69.7,63.5,55.15M,9.94%
7/10/2025,63.4,59,63.4,58.15,32.53M,7.46%
7/9/2025,59,57.3,59.85,57.5,23.12M,2.97%
7/8/2025,57.3,57.55,57.5,57.1,17.13M,-0.43%
7/7/2025,57.55,57.5,57.8,55.1,24.73M,0.09%
7/4/2025,57.5,58,57.5,57,17.51M,-0.86%
7/3/2025,58,57,58,57,16.27M,1.75%
7/2/2025,57,56.05,57,55.35,17.39M,1.69%
7/1/2025,56.05,56.95,56.95,55.05,18.34M,-1.58%
6/30/2025,56.95,58,58,56.55,21.82M,-1.81%
6/27/2025,58,58.3,58,57.05,30.55M,-0.51%
6/26/2025,58.3,56.5,58.55,56.5,60.30M,0.52%
6/25/2025,58,53,58.1,53,60.62M,9.43%
6/24/2025,53,50.85,53,50.75,34.21M,4.23%
6/23/2025,50.85,49.9,51,49.9,46.26M,1.90%
6/20/2025,49.9,49.95,50.5,49,24.85M,-0.10%
